Key,English(en),French(fr),German(de),Hindi(hi),Italian(it),Polish(pl),Russian(ru),Spanish(es),Ukrainian(uk),Turkish(tr)
oracle.scale_intro.business,Initiating predictive analysis module.,Initialisation du module d'analyse prédictive.,Prädiktives Analysemodul wird gestartet.,भविष्यवाणी विश्लेषण मॉड्यूल शुरू किया जा रहा है।,Inizializzazione del modulo di analisi predittiva.,Inicjowanie modułu analizy predykcyjnej.,Инициализация модуля прогнозного анализа.,Iniciando módulo de análisis predictivo.,Ініціалізація модуля прогнозного аналізу.,Öngörücü analiz modülü başlatılıyor.
oracle.scale_intro.tech,Accessing neural metadata.,Accès aux métadonnées neurales.,Zugriff auf neuronale Metadaten.,तंत्रिका मेटाडेटा तक पहुँचना।,Accesso ai metadati neurali.,Dostęp do metadanych neuronowych.,Доступ к нейронным метаданным.,Accediendo a metadatos neuronales.,Доступ до нейронних метаданих.,Sinirsel meta verilere erişiliyor.
persona.mystic,MYSTIC,MYSTIQUE,MYSTISCH,रहस्यवादी,MISTICO,MISTYK,МИСТИК,MÍSTICO,МІСТИК,MİSTİK
persona.business,BUSINESS,AFFAIRES,BUSINESS,व्यापार,BUSINESS,BIZNES,БИЗНЕС,NEGOCIOS,БІЗНЕС,İŞ DÜNYASI
persona.tech,TECH,TECH,TECH,तकनीक,TECH,TECH,ТЕХНО,TECH,ТЕХНО,TEKNOLOJİ
persona.casual,CASUAL,DÉCONTRACTÉ,CASUAL,कैजुअल,CASUAL,LUŹNY,ОБЫЧНЫЙ,CASUAL,ЗВИЧАЙНИЙ,GÜNLÜK
lbl.scale_small,SMALL,PETIT,KLEIN,छोटा,PICCOLO,MAŁY,МАЛЫЙ,PEQUEÑO,МАЛИЙ,KÜÇÜK
lbl.scale_medium,MEDIUM,MOYEN,MITTEL,मध्यम,MEDIO,ŚREDNI,СРЕДНИЙ,MEDIO,СЕРЕДНІЙ,ORTA
lbl.scale_large,LARGE,GRAND,GROSS,बड़ा,GRANDE,DUŻY,БОЛЬШОЙ,GRANDE,ВЕЛИКИЙ,BÜYÜK
msg.sample_text,Resonance Sample,Échantillon de résonance,Resonanz-Stichprobe,प्रतिध्वनि नमूना,Campione di risonanza,Próbka rezonansu,Образец резонанса,Muestra de resonancia,Зразок резонансу,Rezonans Örneği
nav.radar.mystic,COMPASS,BOUSSOLE,KOMPASS,कम्पास,BUSSOLA,KOMPAS,КОМПАС,BRÚJULA,КОМПАС,PUSULA
nav.feed.mystic,CHRONICLES,CHRONIQUES,CHRONIKEN,कालक्रम,CRONACHE,KRONIKI,ХРОНИКИ,CRÓNICAS,ХРОНІКИ,KRONİKLER
nav.feed.business,NETWORK,RÉSEAU,NETZWERK,नेटवर्क,RETE,SIEĆ,СЕТЬ,RED,МЕРЕЖА,AĞ
nav.feed.tech,DATASTREAM,FLUX DE DONNÉES,DATENSTROM,डेटास्ट्रीम,FLUSSO DATI,STRUMIEŃ DANYCH,ПОТОК ДАННЫХ,FLUJO DE DATOS,ПОТІК ДАНИХ,VERİ AKIŞI
nav.vault.mystic,TREASURY,TRÉSORERIE,SCHATZKAMMER,खजाना,TESORERIA,SKARBIEC,СОКРОВИЩНИЦА,TESORERÍA,СКАРБНИЦЯ,HAZİNE
nav.vault.business,ASSETS,ACTIFS,VERMÖGENSWERTE,संपत्ति,ASSET,AKTYWA,АКТИВЫ,ACTIVOS,АКТИВИ,VARLIKLAR
nav.vault.tech,STORAGE,STOCKAGE,SPEICHER,स्टोरेज,ARCHIVIAZIONE,PRZECHOWYWANIE,ХРАНИЛИЩЕ,ALMACENAMIENTO,СХОВИЩЕ,DEPOLAMA
nav.oracle.mystic,SANCTUM,SANCTUAIRE,SANKTUARIUM,गर्भगृह,SANTUARIO,SANKTUARIUM,СВЯТИЛИЩЕ,SANTUARIO,СВЯТИЛИЩЕ,TAPINAK
nav.oracle.business,CONSULTANT,CONSULTANT,BERATER,सलाहकार,CONSULENTE,KONSULTANT,КОНСУЛЬТАНТ,CONSULTOR,КОНСУЛЬТАНТ,DANIŞMAN
nav.oracle.tech,INTERFACE,INTERFACE,SCHNITTSTELLE,इंटरफेस,INTERFACCIA,INTERFEJS,ИНТЕРФЕЙС,INTERFAZ,ІНТЕРФЕЙС,ARAYÜZ
essence.header.mystic,RESONATE YOUR SPIRIT,FAITES RÉSONNER VOTRE ESPRIT,LASS DEINEN GEIST RESONIEREN,अपनी आत्मा को प्रतिध्वनित करें,FA RISUONARE IL TUO SPIRITO,ZAREZONUJ SWOIM DUCHEM,РЕЗОНИРУЙТЕ СВОИМ ДУХОМ,RESONA TU ESPÍRITU,ПРОЯВІТЬ СВІЙ ДУХ,RUHUNUZU REZONANSA GETİRİN
vault.header.mystic,TREASURY OF TIME,TRÉSOR DU TEMPS,SCHATZKAMMER DER ZEIT,समय का खजाна,TESORO DEL TEMPO,SKARBIEC CZASU,СОКРОВИЩНИЦА ВРЕМЕНИ,TESORO DEL TIEMPO,СКАРБНИЦЯ ЧАСУ,ZAMAN HAZİNESİ
vault.header.business,ASSET REPOSITORY,RÉPERTOIRE D'ACTIFS,ASSET-REPOSITOIRE,संपत्ति भंडार,REPOSITORY DEGLI ASSET,REPOZYTORIUM AKTYWÓW,РЕПОЗИТОРИЙ АКТИВОВ,REPOSITORIO DE ACTIVOS,РЕПОЗИТОРІЙ АКТИВІВ,VARLIK DEPOSU
vault.header.tech,ENCRYPTED DATA VAULT,COFFRE DE DONNÉES CHIFFRÉES,VERSCHLÜSSELTER DATENTRESOR,एन्क्रिप्टेड डेटा वॉल्ट,VAULT DATI CRITTOGRAFATI,ZASZYFROWANY SKARBIEC DANYCH,ЗАШИФРОВАННОЕ ХРАНИЛИЩЕ,BÓVEDA DE DATOS CIFRADOS,ЗАШИФРОВАНЕ СХОВИЩЕ,ŞİFRELİ VERİ MAHZENİ
nav.feed.casual,STORIES,HISTOIRES,STORYS,कहानियाँ,STORIE,HISTORIE,ИСТОРИИ,HISTORIAS,ІСТОРІЇ,HİKAYELER
nav.vault.casual,MY STUFF,MES TRUCS,MEIN KRAM,मेरा सामान,LE MIE COSE,MOJE RZECZY,МОИ ВЕЩИ,MIS COSAS,МОЇ РЕЧІ,EŞYALARIM
nav.oracle.casual,CHAT,DISCUTER,CHAT,चैट,CHAT,CZAT,ЧАТ,CHAT,ЧАТ,SOHBET
vault.btn_watch_ad,👁️ WATCH AD (+1 CONTRACT SLOT),👁️ VOIR UNE PUB (+1 CONTRAT),👁️ WERBUNG SEHEN (+1 VERTRAG),👁️ विज्ञापन देखें (+1 अनुबंध),👁️ GUARDA ANNUNCIO (+1 CONTRATTO),👁️ OBEJRZYJ REKLAMĘ (+1 KONTRAKT),👁️ СМОТРЕТЬ РЕКЛАМУ (+1 КОНТРАКТ),👁️ VER ANUNCIO (+1 CONTRATO),👁️ ДИВИТИСЬ РЕКЛАМУ (+1 КОНТРАКТ),👁️ REKLAM İZLE (+1 SÖZLEŞME)
vault.btn_buy_starter,🛒 BUY STARTER PACK (10 HORAS),🛒 KIT DE DÉMARRAGE (10 HORAS),🛒 STARTER-PAKET (10 HORAS),🛒 स्टार्टर पैक खरीदें (10 होरस),🛒 PACCHETTO INIZIALE (10 HORAS),🛒 PAKIET STARTOWY (10 HORAS),🛒 КУПИТЬ СТАРТОВЫЙ ПАКЕТ (10 ХОР),🛒 COMPRAR PACK INICIO (10 HORAS),🛒 КУПИТИ СТАРТОВИЙ ПАКЕТ (10 ХОР),🛒 BAŞLANGIÇ PAKETİ AL (10 HORAS)
vault.btn_open_shop,💎 REFILL QUANTS,💎 RECHARGER LES QUANTS,💎 QUANTEN AUFLADEN,💎 क्वान्ट्स रीफिल करें,💎 RICARICA QUANT,💎 DOŁADUJ KWANTY,💎 ПОПОЛНИТЬ КВАНТЫ,💎 RECARGAR CUANTOS,💎 ПОПОВНИТИ КВАНТИ,💎 KUANT DOLDUR

